kuchnia,rynek,balkon,liczba_pieter_budynku,rok_budowy,miasto,liczba_pokoi,wykonczenie,ulica,pietro,rodzaj_zabudowy,powierzchnia,dzielnica,forma-wlasnosci,adres,serwis,material_budynku,oferta,ogrzewanie,winda,czynsz,typ_ogrzewania,dodatkowe_informacje,ulica_i_nr
-1,-1,-1,2,1949,Gdańsk,4,-1,-1,1,blok,78.7,wrzeszcz,-1,"Gdańsk,Wrzeszcz,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,9,2010,-1,4,-1,-1,5,-1,95.95,-1,-1,"Gdańsk, Wrzeszcz, Gen, Józefa, Hallera",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Garaż, Winda, Siła, Aneks kuchenny",-1
w aneksie,-1,-1,3,2018,Gdańsk,1,-1,-1,0,blok,27.99,jasień-lawendowewzgórze,-1,"Gdańsk,Jasień-LawendoweWzgórze,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
brak,pierwotny,-1,3,2020,Gdańsk,3,-1,-1,3,-1,105.57,-1,-1,"Gdańsk, Chełm, Pastelowa",otodom,-1,Oferta biura nieruchomości,-1,1,-1,-1,-1,-1
-1,-1,-1,3,1930,-1,3,-1,-1,3,-1,95.0,-1,-1,"Sopot, Dolny, Sopot, Kazimierza, Wielkiego",trojmiasto,-1,-1,-1,-1,-1,Gazowe,-1,-1
-1,-1,-1,3,2003,Gdańsk,5,-1,-1,3,blok,85.0,kokoszki,-1,"Gdańsk,Kokoszki,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,6,2019,-1,4,-1,-1,4,-1,83.15,-1,-1,"Gdańsk, Długie, Ogrody, Św, Barbary",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Woda, Kanalizacja, Miejsce parkingowe, Internet",-1
-1,-1,-1,5,2010,-1,2,-1,-1,2,-1,49.2,-1,-1,"Gdańsk, Szadółki, Jabłoniowa",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Woda, Kanalizacja, Miejsce parkingowe, Internet",-1
-1,-1,-1,4,1968,-1,2,-1,-1,2,-1,35.0,-1,-1,"Gdańsk, Stogi, Stryjewskiego, Wilhelma",trojmiasto,-1,-1,-1,-1,-1,-1,Internet,-1
-1,-1,-1,10,1971,-1,3,-1,-1,1,-1,56.0,-1,-1,"Gdańsk, Oliwa, Bitwy, Oliwskiej",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Gaz, Woda, Kanalizacja, Piwnica",-1
-1,wtórny,-1,3,2013,Gdańsk,3,-1,myśliwska,1 / 3 ,-1,67.0,morena,-1,"gdańsk, morena, myśliwska",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,2,1910,Sopot,2,-1,-1,0,kamienica,46.7,dolny,-1,"Sopot,DOLNY,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
brak,pierwotny,-1,4,2020,Gdynia,4,-1,-1,1,-1,89.95,-1,-1,"Gdynia, pomorskie",otodom,-1,Oferta biura nieruchomości,-1,1,-1,-1,-1,-1
-1,-1,-1,3,2006,-1,2,-1,-1,3,-1,48.0,-1,-1,"Gdańsk, Chełm, Rogalińska",trojmiasto,-1,-1,-1,-1,-1,Miejskie,"Balkon, Piwnica, Internet, Kuchnia","80-766 gdańsk, henryka hubertusa jabłońskiego 26/9"
-1,-1,-1,2,2010,-1,2,-1,-1,1,-1,61.8,-1,-1,"Sopot, Wyścigi, Karlikowo, Władysława, Łokietka",trojmiasto,-1,-1,-1,-1,-1,-1,Miejsce parkingowe,-1
-1,-1,-1,3,2002,-1,2,-1,-1,3,-1,52.59,-1,-1,"Gdynia, Witomino, Radiostacja, Kielecka",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Balkon, Garaż, Miejsce parkingowe, Internet, Kuchnia",-1
brak,wtórny,-1,4,1950,Gdynia,2,dozamieszkania,-1,1,kamienica,34.0,-1,-1,"Gdynia, Grabówek, Morska",otodom,-1,Oferta biura nieruchomości,miejskie,0,-1,-1,-1,-1
brak,pierwotny,-1,3,2020,Gdynia,3,dowykończenia,-1,3,blok,48.88,-1,-1,"Gdynia, Oksywie, inż. J. Śmidowicza",otodom,inne,Oferta biura nieruchomości,miejskie,0,120.0,-1,-1,-1
-1,-1,-1,4,2006,-1,4,-1,-1,3,-1,104.0,-1,-1,"Gdynia, Dąbrowa, Rdestowa",trojmiasto,-1,-1,-1,-1,-1,-1,"Piwnica, Miejsce parkingowe",-1
-1,-1,-1,4,2018,-1,3,-1,-1,2,-1,72.3,-1,-1,"Gdańsk, Kowale, Sadowa",trojmiasto,-1,-1,-1,-1,-1,-1,"Balkon, Miejsce parkingowe",-1
-1,-1,-1,2,2020,Gdynia,3,-1,-1,2,apartamentowiec,89.1,orłowo,-1,"Gdynia,Orłowo,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
oddzielna,wtórny,tak ,10,1979,Gdynia,3,dobry,płk. stanisława dąbka,5 / 10 ,wieżowiec,52.6,obłuże,własność,"gdynia, obłuże, płk. stanisława dąbka",morizon,wielka płyta,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,2,1955,-1,2,-1,-1,1,-1,34.6,-1,-1,"Gdańsk, Śródmieście, Ogarna",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,Piwnica,-1
-1,wtórny,-1,5,1930,Gdańsk,3,-1,angielska grobla,5 / 5 ,kamienica,42.5,śródmieście,-1,"gdańsk, śródmieście, angielska grobla",morizon,cegła,-1,-1,-1,-1,-1,-1,-1
brak,wtórny,-1,5,1960,Gdynia,2,dozamieszkania,-1,1,blok,37.56,-1,-1,"Gdynia, Wzgórze Św. Maksymiliana, bp. Dominika",otodom,-1,Oferta biura nieruchomości,miejskie,0,-1,-1,-1,-1
-1,-1,-1,4,2019,-1,3,-1,-1,1,-1,57.96,-1,-1,"Gdańsk, Wrzeszcz",trojmiasto,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,7,2005,-1,3,-1,-1,3,-1,61.3,-1,-1,"Gdynia, Obłuże, Turkusowa",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Woda, Kanalizacja, Internet",-1
-1,wtórny,-1,4,2019,Gdynia,4,-1,czesława niemena,2 / 4 ,-1,96.0,wiczlino,-1,"gdynia, wiczlino, czesława niemena",morizon,-1,-1,-1,-1,-1,-1,-1,-1
z oknem,wtórny,tak ,4,1901,Gdańsk,3,bardzo wysoki standard,dobra,3 / 4 ,kamienica,87.0,śródmieście,-1,"gdańsk, śródmieście, dobra",morizon,cegła,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,2,1902,-1,2,-1,-1,1,-1,78.84,-1,-1,"Gdańsk, Oliwa, Grunwaldzka",trojmiasto,-1,-1,-1,-1,-1,-1,"Balkon, Kuchnia",-1
-1,wtórny,-1,10,1960,Gdynia,2,doremontu,-1,9,blok,32.9,-1,-1,"Gdynia, Śródmieście",otodom,-1,Oferta biura nieruchomości,miejskie,1,-1,-1,-1,-1
-1,wtórny,-1,10,1975,Gdańsk,4,dozamieszkania,-1,7,blok,70.0,-1,-1,"Gdańsk, Przymorze, al. Rzeczypospolitej",otodom,wielka płyta,Oferta biura nieruchomości,miejskie,1,700.0,-1,-1,-1
-1,wtórny,-1,1,2015,Gdańsk,4,wysoki standard,czesława miłosza,1 / 1 ,apartamentowiec,110.0,morena,-1,"gdańsk, morena, czesława miłosza",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,wtórny,-1,4,1960,Sopot,2,-1,grunwaldzka,4 / 4 ,blok mieszkalny,37.0,dolny,-1,"sopot, dolny, grunwaldzka",morizon,-1,-1,-1,-1,-1,-1,-1,-1
oddzielna,wtórny,tak ,4,1968,Gdynia,2,-1,wejherowska,4 / 4 ,blok,41.9,chylonia,spółdzielcze-własnościowe,"gdynia, chylonia, wejherowska",morizon,wielka płyta,-1,-1,-1,-1,-1,-1,-1
-1,wtórny,-1,4,1970,Gdańsk,1,-1,wilhelma stryjewskiego,parter / 4 ,blok mieszkalny,28.0,stogi,-1,"gdańsk, stogi, wilhelma stryjewskiego",morizon,wielka płyta,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,3,1900,-1,5,-1,-1,1,-1,150.0,-1,-1,"Gdańsk, Śródmieście, Górka",trojmiasto,-1,-1,-1,-1,-1,Gazowe,"Winda, Piwnica, Miejsce parkingowe, Internet, Kuchnia",-1
brak,pierwotny,-1,4,2021,Gdańsk,2,-1,-1,1,blok,40.13,-1,-1,"Gdańsk, Piecki-Migowo",otodom,silikat,Oferta biura nieruchomości,miejskie,1,-1,-1,-1,-1
-1,wtórny,tak ,3,2013,Sopot,1,-1,-1,1 / 3 ,blok mieszkalny,33.5,władysława łokietka,-1,"sopot, władysława łokietka, -1",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,1980,-1,3,-1,-1,4,-1,63.4,-1,-1,"Gdańsk, Zaspa, Stanisława, Skarżyńskiego",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Woda, Piwnica, Internet",-1
-1,-1,-1,2,2006,-1,3,-1,-1,1,-1,62.0,-1,-1,"Sopot, Wyścigi, Karlikowo, Władysława, Łokietka",trojmiasto,-1,-1,-1,-1,-1,-1,-1,-1
-1,wtórny,-1,4,1970,Gdańsk,2,doremontu,-1,2,blok,41.0,-1,-1,"Gdańsk, Przymorze",otodom,wielka płyta,Oferta biura nieruchomości,miejskie,0,350.0,-1,-1,-1
brak,wtórny,-1,6,2018,Gdańsk,2,dozamieszkania,-1,4,blok,41.79,-1,-1,"Gdańsk, Letnica, Starowiejska",otodom,-1,Oferta biura nieruchomości,-1,1,-1,-1,-1,-1
-1,-1,-1,2,2021,-1,2,-1,-1,Parter,-1,42.14,-1,-1,"Gdynia, Pogórze",trojmiasto,-1,-1,-1,-1,-1,Miejskie,"Winda, Taras, Ogródek, Miejsce parkingowe, Aneks kuchenny, Komórka lokatorska","81-364 gdynia, szkolna 10"
-1,-1,-1,8,2006,Gdynia,4,-1,-1,1,apartamentowiec,86.52,redłowo,-1,"Gdynia,Redłowo,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
oddzielna,-1,-1,3,1970,Gdańsk,2,do odświeżenia,-1,3,blok,47.0,oliwa,-1,"Gdańsk,Oliwa,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,2019,-1,3,-1,-1,Parter,-1,58.0,-1,-1,"Gdańsk, Olszynka, Zawodzie",trojmiasto,-1,-1,-1,-1,-1,Gazowe,"Ogródek, Miejsce parkingowe",-1
-1,-1,-1,3,2012,Sopot,4,-1,-1,0,apartamentowiec,80.0,dolny,-1,"Sopot,Dolny,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,1980,-1,3,-1,-1,4,-1,63.4,-1,-1,"Gdańsk, Zaspa, Stanisława, Skarżyńskiego",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Woda, Piwnica, Internet",-1
-1,-1,-1,5,2004,-1,3,-1,-1,4,-1,55.2,-1,-1,"Gdańsk, Chełm, Cieszyńskiego",trojmiasto,-1,-1,-1,-1,-1,Miejskie,-1,-1
-1,-1,-1,10,1972,-1,2,-1,-1,4,-1,46.0,-1,-1,"Gdańsk, Przymorze, Kołobrzeska",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Gaz, Woda, Internet",-1
brak,wtórny,-1,3,2010,Gdańsk,4,dozamieszkania,-1,3,blok,76.0,-1,-1,"Gdańsk, Ujeścisko-Łostowice, Łostowice, ul. Olimpijska",otodom,-1,Oferta prywatna,miejskie,0,600.0,-1,-1,-1
z oknem,wtórny,tak ,4,1980,Gdańsk,3,do remontu,pawia,3 / 4 ,niski blok,43.0,stogi,-1,"gdańsk, stogi, pawia",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,1809,-1,4,-1,-1,3,-1,61.5,-1,-1,"Gdańsk, Śródmieście, Długa",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,-1,-1
oddzielna,wtórny,-1,4,1968,Gdańsk,2,wysoki standard,mikołaja reja,3 / 4 ,niski blok,34.67,wrzeszcz,-1,"gdańsk, wrzeszcz, mikołaja reja",morizon,wielka płyta,-1,-1,-1,-1,-1,-1,-1
brak,wtórny,-1,2,2017,Gdynia,2,dozamieszkania,-1,0,blok,47.37,-1,-1,"Gdynia, Pogórze, Szymona Czechowicza",otodom,cegła,Oferta biura nieruchomości,miejskie,0,290.0,-1,-1,-1
-1,-1,-1,1,2000,-1,2,-1,-1,1,-1,58.0,-1,-1,"Gdańsk, Osowa, Antygony",trojmiasto,-1,-1,-1,-1,-1,Gazowe,"Balkon, Piwnica, Miejsce parkingowe",-1
brak,wtórny,-1,2,2017,Gdynia,3,dozamieszkania,-1,0,apartamentowiec,61.06,-1,-1,"Gdynia, Orłowo, Inżynierska",otodom,-1,Oferta biura nieruchomości,gazowe,1,-1,-1,-1,-1
-1,-1,-1,10,1976,Gdynia,3,-1,-1,4,blok,60.7,chylonia,-1,"Gdynia,Chylonia,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
z oknem,pierwotny,tak ,6,2019,Gdańsk,2,bardzo wysoki standard,św. barbary,2 / 6 ,apartamentowiec,30.0,śródmieście,-1,"gdańsk, śródmieście, św. barbary",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,6,2018,-1,2,-1,-1,4,-1,41.79,-1,-1,"Gdańsk, Letnica, Starowiejska",trojmiasto,-1,-1,-1,-1,-1,-1,"Balkon, Garaż, Winda, Internet",-1
-1,wtórny,-1,3,1952,Gdynia,1,-1,ikara,1 / 3 ,-1,36.69,babie doły,-1,"gdynia, babie doły, ikara",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,2,1985,-1,3,-1,-1,1,-1,70.88,-1,-1,"Gdańsk, Sobieszewo, Świbnieńska",trojmiasto,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,3,1898,-1,3,-1,-1,1,-1,50.0,-1,-1,"Sopot, Dolny, Sopot, Władysława, Jagiełły",trojmiasto,-1,-1,-1,-1,-1,Gazowe,Miejsce parkingowe,-1
-1,-1,-1,4,1987,-1,3,-1,-1,4,-1,60.01,-1,-1,"Gdynia, Pustki, Cisowskie, Jeżynowa",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Gaz, Woda, Kanalizacja, Piwnica, Internet",-1
-1,wtórny,tak ,3,2013,Sopot,2,-1,-1,parter / 3 ,blok mieszkalny,69.3,władysława łokietka,-1,"sopot, władysława łokietka, -1",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,2013,-1,3,-1,-1,Parter,-1,77.0,-1,-1,"Gdańsk, Łostowice, Szmaragdowa",trojmiasto,-1,-1,-1,-1,-1,Centralne,"Winda, Taras, Ogródek, Piwnica, Miejsce parkingowe, Internet, Kuchnia, Dwupoziomowe, Kablówka, Podjazd dla niepełnosprawnych, Rowerownia",-1
-1,-1,-1,3,2011,-1,3,-1,-1,Parter,-1,70.2,-1,-1,"Gdańsk, Św, Wojciech, Kazimierza, Wielkiego",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Garaż, Siła, Piwnica, Internet, Aneks kuchenny",-1
-1,-1,-1,4,1976,-1,4,-1,-1,3,-1,107.0,-1,-1,"Sopot, Dolny, Sopot, Niepodległości",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,Balkon,-1
-1,-1,-1,10,1982,-1,4,-1,-1,4,-1,73.4,-1,-1,"Gdańsk, Morena, Krzysztofa, Kolumba",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Gaz, Woda, Piwnica",-1
-1,wtórny,tak ,3,2010,Gdańsk,3,-1,podchorążych,2 / 3 ,blok mieszkalny,57.8,matarnia,-1,"gdańsk, matarnia, podchorążych",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,5,2018,-1,3,-1,-1,1,-1,57.96,-1,-1,"Gdańsk, Wrzeszcz, Gen, Hallera",trojmiasto,-1,-1,-1,-1,-1,-1,"Garaż, Piwnica, Aneks kuchenny",-1
-1,wtórny,-1,3,1910,Gdańsk,2,-1,sandomierska,2 / 3 ,kamienica,51.0,orunia dolna,-1,"gdańsk, orunia dolna, sandomierska",morizon,-1,-1,-1,-1,-1,-1,-1,-1
brak,pierwotny,-1,3,2020,Gdynia,4,-1,-1,0,-1,59.21,-1,-1,"Gdynia, Oksywie",otodom,cegła,Oferta biura nieruchomości,miejskie,1,-1,-1,-1,-1
oddzielna,-1,-1,10,1978,Gdańsk,3,-1,-1,0,blok,56.12,suchanino,-1,"Gdańsk,Suchanino,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,wtórny,-1,-1,2016,Gdańsk,3,bardzo dobry,siedlce,1 ,blok,56.0,gdańsk,-1,"gdańsk, gdańsk, siedlce ",morizon,-1,-1,-1,-1,-1,-1,-1,-1
z oknem,wtórny,-1,4,1954,Gdańsk,2,bardzo wysoki standard,ogarna,2 / 4 ,kamienica,45.0,śródmieście,-1,"gdańsk, śródmieście, ogarna",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,2017,-1,3,-1,-1,3,-1,65.64,-1,-1,"Gdańsk, Wrzeszcz, Bolesława, Chrobrego",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Miejsce parkingowe",-1
-1,wtórny,tak ,6,2019,Gdańsk,3,-1,grudziądzka,1 / 6 ,-1,57.96,wrzeszcz dolny,-1,"gdańsk, wrzeszcz dolny, grudziądzka",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,1980,-1,3,-1,-1,4,-1,63.4,-1,-1,"Gdańsk, Zaspa, Stanisława, Skarżyńskiego",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Woda, Piwnica, Internet",-1
brak,wtórny,-1,10,1978,Gdynia,3,dozamieszkania,-1,2,-1,55.25,-1,-1,"Gdynia, Wzgórze Św. Maksymiliana, Stanisława Wyspiańskiego",otodom,-1,Oferta biura nieruchomości,-1,0,-1,-1,-1,-1
-1,-1,-1,3,2011,Gdynia,4,-1,-1,3,-1,95.9,-1,-1,"Gdynia, Mały, Kack",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,Dwupoziomowe,Świętojańska 43/23
-1,-1,-1,4,1990,-1,4,-1,-1,Parter,-1,78.3,-1,-1,"Gdańsk, Chełm, Dz, Gdańsk, Południe",trojmiasto,-1,-1,-1,-1,-1,-1,Dwupoziomowe,-1
-1,-1,-1,3,2012,Gdańsk,2,-1,-1,1,blok,48.2,morena,-1,"Gdańsk,Morena,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,wtórny,tak ,7,2020,Gdańsk,3,-1,gen. józefa hallera,1 / 7 ,apartamentowiec,65.0,wrzeszcz,-1,"gdańsk, wrzeszcz, gen. józefa hallera",morizon,mieszana,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,8,1980,-1,3,-1,-1,1,-1,49.34,-1,-1,"Gdańsk, Stare, Przedmieście, Kamienna, Grobla",trojmiasto,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,1968,-1,2,-1,-1,4,-1,38.5,-1,-1,"Gdańsk, Orunia, Dolna",trojmiasto,-1,-1,-1,-1,-1,Centralne,-1,-1
-1,-1,-1,4,1980,-1,1,-1,-1,Parter,-1,28.0,-1,-1,"Gdańsk, Stogi, Stryjewskiego, 16d",trojmiasto,-1,-1,-1,-1,-1,Miejskie,"Piwnica, Aneks kuchenny",-1
brak,wtórny,-1,17,2017,Gdańsk,2,dozamieszkania,-1,11,apartamentowiec,50.0,-1,-1,"Gdańsk, Przymorze, Rzeczypospolitej",otodom,inne,Oferta biura nieruchomości,miejskie,1,-1,-1,-1,-1
-1,wtórny,-1,3,1950,Gdańsk,2,-1,ogarna,1 / 3 ,kamienica,35.0,śródmieście,-1,"gdańsk, śródmieście, ogarna",morizon,cegła,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,10,1979,-1,2,-1,-1,4,-1,41.1,-1,-1,"Sopot, Brodwino, Oskara, Kolberga",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Piwnica, Miejsce parkingowe",-1
w aneksie,-1,-1,3,2011,Gdańsk,3,-1,-1,0,blok,70.2,oruniagórna,-1,"Gdańsk,ORUNIAGÓRNA,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,5,2014,-1,2,-1,-1,1,-1,55.0,-1,-1,"Gdańsk, Długie, Ogrody, Długie, Ogrody",trojmiasto,-1,-1,-1,-1,-1,-1,"Balkon, Garaż, Winda, Piwnica, Kuchnia",-1
-1,pierwotny,tak ,3,2020,Gdynia,3,-1,odbierz klucze szybko.,2 / 3 ,-1,49.0,oksywie,-1,"gdynia, oksywie, odbierz klucze szybko.",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,3,1935,Gdynia,2,-1,-1,1,-1,35.0,-1,-1,"Gdańsk, Śródmieście",trojmiasto,-1,-1,-1,-1,-1,Miejskie,-1,Świętojańska 43/23
-1,-1,-1,5,2012,-1,3,-1,-1,5,-1,68.5,-1,-1,"Gdańsk, Jasień, Goska",trojmiasto,-1,-1,-1,-1,-1,-1,"Winda, Taras, Piwnica, Miejsce parkingowe, Internet, Kuchnia, Aneks kuchenny, Kablówka, Podjazd dla niepełnosprawnych, Komórka lokatorska, Rowerownia, Osiedle zamknięte",-1
-1,-1,-1,4,1952,-1,4,-1,-1,3,-1,62.0,-1,-1,"Gdańsk, Śródmieście, Długa",trojmiasto,-1,-1,-1,-1,-1,-1,Piwnica,-1
-1,-1,-1,9,1963,Gdynia,2,-1,-1,5,-1,50.2,-1,-1,"Gdynia, Redłowo",trojmiasto,-1,-1,-1,-1,-1,Centralne,-1,Świętojańska 43/23
-1,-1,-1,10,1975,-1,2,-1,-1,Parter,-1,46.0,-1,-1,"Gdańsk, Przymorze, Obrońców, Wybrzeża",trojmiasto,-1,-1,-1,-1,-1,Miejskie,-1,"80-398 gdańsk, obrońców wybrzeża 4c/22"
oddzielna,-1,-1,4,2018,Gdańsk,2,-1,-1,3,apartamentowiec,49.0,śródmieście,-1,"Gdańsk,Śródmieście,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,2011,-1,4,-1,-1,4,-1,91.0,-1,-1,"Gdynia, Pogórze, Śliwińskiego",trojmiasto,-1,-1,-1,-1,-1,Miejskie,"Garaż, Taras, Aneks kuchenny",-1
-1,-1,-1,3,2019,Gdańsk,3,-1,-1,0,apartamentowiec,67.0,brzeźno,-1,"Gdańsk,Brzeźno,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,wtórny,-1,2,2020,Gdynia,2,-1,światowida,parter / 2 ,-1,60.2,orłowo,-1,"gdynia, orłowo, światowida",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,3,2017,-1,2,-1,-1,2,-1,52.0,-1,-1,"Gdańsk, Jelitkowo, Bursztynowa",trojmiasto,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,2020,-1,2,-1,-1,2,-1,32.61,-1,-1,"Gdańsk, Szadółki",trojmiasto,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,17,2016,-1,4,-1,-1,14,-1,71.99,-1,-1,"Gdańsk, Morena, Franciszka, Rakoczego",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Woda, Miejsce parkingowe, Internet",-1
-1,-1,-1,0,1908,-1,3,-1,-1,Parter,-1,62.5,-1,-1,"Sopot, Dolny, Sopot, Lipowa",trojmiasto,-1,-1,-1,-1,-1,Gazowe,"Ogródek, Gaz, Woda, Kanalizacja, Internet",-1
-1,pierwotny,-1,2,2019,Gdańsk,3,-1,kartuska,1 / 2 ,apartamentowiec,74.12,siedlce,-1,"gdańsk, siedlce, kartuska",morizon,-1,-1,-1,-1,-1,-1,-1,-1
brak,wtórny,-1,9,1970,Gdynia,1,dozamieszkania,-1,1,-1,42.4,-1,-1,"Gdynia, Redłowo, Bohaterów Starówki Warszawskiej",otodom,-1,Oferta biura nieruchomości,-1,0,-1,-1,-1,-1
-1,-1,-1,9,1966,-1,1,-1,-1,3,-1,24.49,-1,-1,"Gdynia, Redłowo, Bohaterów, Starówki, Warszawskiej",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,-1,-1
aneks,pierwotny,tak ,10,1975,Gdańsk,2,wysoki standard,pomorska,7 / 10 ,wieżowiec,38.0,żabianka,spółdzielcze własnościowe,"gdańsk, żabianka, pomorska",morizon,wielka płyta,-1,-1,-1,-1,-1,-1,-1
brak,wtórny,-1,3,1950,Gdynia,4,-1,-1,-1,kamienica,81.0,-1,-1,"Gdynia, Wzgórze Św. Maksymiliana",otodom,-1,Oferta biura nieruchomości,-1,0,600.0,-1,-1,-1
-1,-1,-1,4,1958,-1,2,-1,-1,3,-1,40.5,-1,-1,"Gdańsk, Wrzeszcz, Lendziona",trojmiasto,-1,-1,-1,-1,-1,Centralne,-1,-1
-1,-1,-1,3,1955,-1,1,-1,-1,3,-1,28.0,-1,-1,"Gdańsk, Śródmieście, Szeroka",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,Piwnica,-1
-1,-1,-1,6,2020,-1,1,-1,-1,1,-1,42.7,-1,-1,"Gdańsk, Śródmieście, Pszenna",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Garaż, Winda, Miejsce parkingowe, Internet, Kuchnia",-1
-1,-1,-1,17,2016,-1,2,-1,-1,Parter,-1,50.5,-1,-1,"Gdańsk, Przymorze, Rzeczypospolitej",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Winda, Ogródek, Miejsce parkingowe",-1
-1,-1,-1,4,1960,-1,3,-1,-1,3,-1,58.02,-1,-1,"Gdańsk, Śródmieście, Jana, Heweliusza",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Piwnica, Miejsce parkingowe",-1
-1,-1,-1,4,2009,Gdańsk,4,-1,-1,4,blok,82.33,ujeścisko,-1,"Gdańsk,Ujeścisko,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
aneks,wtórny,tak ,12,2019,Gdańsk,3,bardzo wysoki standard,grudziądzka,1 / 12 ,blok,65.0,wrzeszcz,inna,"gdańsk, wrzeszcz, grudziądzka",morizon,cegła,-1,-1,-1,-1,-1,-1,-1
-1,wtórny,-1,5,1929,Gdynia,3,-1,kaszubski,3 / 5 ,-1,63.0,śródmieście,-1,"gdynia, śródmieście, kaszubski",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,3,2015,-1,2,-1,-1,Parter,-1,41.0,-1,-1,"Gdańsk, Aniołki",trojmiasto,-1,-1,-1,-1,-1,-1,"Garaż, Miejsce parkingowe, Internet",-1
brak,pierwotny,-1,3,2019,Gdańsk,2,dowykończenia,-1,0,-1,56.0,-1,-1,"Gdańsk, Brzeźno, gen. Józefa Hallera",otodom,-1,Oferta biura nieruchomości,-1,0,-1,-1,-1,-1
-1,-1,-1,4,1980,-1,3,-1,-1,1,-1,53.1,-1,-1,"Gdynia, Cisowa, Chylońska",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Gaz, Woda, Kanalizacja, Piwnica",-1
